Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/sign-in,16,0,110.0,123.58999762500389,109.51377099991078,188.1985199979681,45725.5,1.3415131236827271,0.0,120,120,130,130,150,190,190,190,190,190,190
POST,/sign-in,16,9,170.0,373.00841106252847,148.16324200000963,700.9341859993583,27262.875,1.3415131236827271,0.754601132071534,210,610,630,630,680,700,700,700,700,700,700
GET,/surveys/history,6,6,170.0,189.7834753326606,162.29071099951398,253.9532179980597,42463.0,0.5030674213810227,0.5030674213810227,170,170,220,220,250,250,250,250,250,250,250
GET,/surveys/todo,6,0,170.0,188.97335899964673,163.07373200106667,271.8066509987693,45077.0,0.5030674213810227,0.0,180,180,180,180,270,270,270,270,270,270,270
,Aggregated,44,15,160.0,232.22989874987186,109.51377099991078,700.9341859993583,38478.5,3.6891610901274996,1.2576685534525567,160,170,210,250,610,660,700,700,700,700,700
